name,species_id,temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years
Affenpinscher,2,"confident, alert, playful, loyal, courageous",Germany,DE,"Small, sturdy toy breed with a distinctive monkey-like expression and shaggy, wiry coat. Known for its confident, terrier-like personality despite its small size.",Toy,"Originating in 17th-century Germany, bred down from larger terriers to be skilled ratters in homes, kitchens and stables. Refined in Munich and Berlin, recognized by AKC in 1936. Name translates to 'monkey-like terrier'.","{'id': '0LJiOVlxp', 'url': 'https://cdn2.thedogapi.com/images/0LJiOVlxp.jpg', 'width': 2048, 'height': 1880}",3.2,4.5,3.85,23.0,29.0,26.0,12.0,15.0,13.5
Afghan Hound,2,"independent, dignified, aloof, loyal, confident",Afghanistan,AF,"Ancient, elegant sighthound with dramatic, flowing silky coat and aristocratic bearing, bred for hunting large prey in mountainous terrain",Hound,"Ancient sighthound originating in the mountainous regions of Afghanistan, where they were prized for hunting large prey like gazelles and leopards. Valued for their speed, stamina, and problem-solving intelligence over rugged terrain. Introduced to the Western world by British officers in the early 20th century.","{'id': 'tChrH8dDJ', 'url': 'https://cdn2.thedogapi.com/images/tChrH8dDJ.jpg', 'width': 2400, 'height': 2487}",20.0,30.0,25.0,63.0,74.0,68.5,12.0,15.0,13.5
Africanis,2,"intelligent, loyal, alert, adaptable, independent",Southern Africa,ZA,"Medium-sized, athletic landrace dog indigenous to Southern Africa with variable appearance and short coat, naturally evolved through centuries of selection by African communities and adapted to harsh environments",Primitive,"Ancient landrace breed indigenous to Southern Africa, naturally developed by African communities over thousands of years through natural selection rather than deliberate breeding. Recognized by the Kennel Union of Southern Africa as an emerging breed but not by major international kennel clubs.","{'id': 'OAr3CJcw9i', 'url': 'https://cdn4.thedogapi.com/optimized/OAr3CJcw9i.jpg', 'width': 1056, 'height': 1008}",20.0,34.0,27.0,48.0,60.0,54.0,10.0,15.0,12.5
Aidi,2,"alert, protective, independent, loyal, courageous, intelligent, energetic","Atlas Mountains, Morocco",MA,"Medium to large, powerful and muscular Moroccan mountain dog with thick, weather-resistant double coat bred as a livestock guardian and protector in the rugged Atlas Mountains",Working,"Ancient Berber breed from the Atlas Mountains of Morocco, used for centuries by Berber tribes as a livestock guardian protecting herds of sheep and goats from predators. Valued for its courage, adaptability, and keen senses in protecting property and tents.","{'id': 'dK6eTCqT2i', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/fce08255-a9d4-4d01-81b7-0062500915f2.jpeg', 'width': 1408, 'height': 768}",23.0,25.0,24.0,46.0,62.0,54.0,10.0,12.0,11.0
Airedale Terrier,2,"confident, intelligent, courageous, alert, energetic, outgoing","Yorkshire, England",GB,"The largest of all terrier breeds, the Airedale is a large, athletic dog with a distinctive wiry black and tan coat and confident, alert demeanor. Known as the 'King of Terriers', this highly intelligent and versatile breed combines courage with an outgoing temperament.",Terrier,"Developed in the Aire Valley of Yorkshire, England, by crossing Otterhounds with various terrier breeds. Originally bred by working-class fanciers to hunt otters and rats, their intelligence and courage led to their use as police dogs, war dogs, and all-around companions.","{'id': 'QWRBrrIvB', 'url': 'https://cdn2.thedogapi.com/images/QWRBrrIvB.jpg', 'width': 1600, 'height': 1200}",18.0,32.0,25.0,56.0,61.0,58.5,11.0,14.0,12.5
Airedoodle,2,"intelligent, energetic, courageous, loyal, friendly, alert",United States,US,"Large, intelligent crossbreed resulting from crossing an Airedale Terrier with a Standard Poodle, combining the terrier's confident, courageous nature with the Poodle's intelligence and low-shedding coat qualities",Mixed,"Modern designer crossbreed developed in the US by crossing the versatile, courageous Airedale Terrier with the intelligent Standard Poodle. The goal was to combine the Poodle's intelligence and low-shedding coat with the Airedale's confidence and sturdiness. Not recognized by major kennel clubs","{'id': 'Y66aU7llPX', 'url': 'https://cdn4.thedogapi.com/optimized/Y66aU7llPX.jpg', 'width': 1408, 'height': 768}",18.0,32.0,25.0,53.0,69.0,61.0,10.0,15.0,12.5
Akbash,2,"independent, protective, calm, alert, loyal, intelligent",Western Turkey,TR,"Large, powerful, all-white livestock guardian dog from Turkey with lean athletic build, known for its independent nature and strong protective instincts. The distinctive white coat helped shepherds distinguish it from predators at a distance.",Guardian,"Ancient breed developed over 3,000 years ago in western Turkey for guarding livestock, particularly in the Akbash region. The white coat helped shepherds distinguish the dogs from predators. Introduced to North America in the 1970s for predator control programs.","{'id': 'w1Cal_vrT', 'url': 'https://cdn2.thedogapi.com/images/w1Cal_vrT.jpg', 'width': 1600, 'height': 1200}",34.0,64.0,49.0,69.0,86.0,77.5,10.0,12.0,11.0
Akita,2,"courageous, loyal, dignified, independent, protective, alert",Japan,JP,"A large, powerful spitz-type dog of Japanese origin with a bear-like head, dense double coat, and full curled tail. Known for its dignified presence, imposing stature, and courageous, loyal temperament.",Working,"Ancient Japanese breed developed in the mountainous Akita prefecture for hunting large game including wild boar and bear. Revered in Japanese culture as a symbol of health, happiness, and good fortune. The breed was nearly lost after World War II but was preserved by dedicated breeders and designated as a national treasure in Japan.","{'id': 'iNX25KsSX', 'url': 'https://cdn2.thedogapi.com/images/iNX25KsSX.jpg', 'width': 2362, 'height': 2355}",32.0,59.0,45.5,61.0,71.0,66.0,10.0,13.0,11.5
Aksaray Malaklisi,2,"protective, loyal, independent, calm, alert, courageous, intelligent","Aksaray Province, Central Anatolia, Turkey",TR,"A giant and powerful livestock guardian dog from the Aksaray region of Turkey, characterized by its massive frame, muscular build, and pendulous lips from which it gets its name ('Malakli' meaning 'with lips'). Known for exceptional size and protective instincts.",Working,"Ancient Turkish breed developed as a landrace in the Aksaray region of central Turkey for livestock protection against large predators such as wolves and bears. Closely related to Turkish mastiff and guardian breeds, recognized by Turkish cynology organizations as distinct from the Kangal Shepherd Dog","{'id': 'JeEa01pVeW', 'url': 'https://cdn4.thedogapi.com/optimized/JeEa01pVeW.jpg', 'width': 1200, 'height': 896}",50.0,90.0,70.0,70.0,86.0,78.0,8.0,12.0,10.0
Alano Español,2,"loyal, courageous, protective, intelligent, confident",Spain,ES,"A large, athletic Molosser-type dog with a powerful, agile build and brachycephalic head. This robust Spanish breed has a short coat, serious expression, and strong working instincts, historically used as a catch dog for large game and cattle work.",Working,"Ancient Spanish Molosser breed tied to dogs brought by Alani tribes in 5th century. Traditionally used for hunting large game, cattle herding, and guard work. Nearly extinct but recovered in late 20th century from remaining specimens in rural Spain.","{'id': 'lgmZxkDwTH', 'url': 'https://cdn4.thedogapi.com/optimized/lgmZxkDwTH.jpg', 'width': 1184, 'height': 896}",30.0,40.0,35.0,55.0,65.0,60.0,10.0,14.0,12.0
