Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Training Difficulty (1-10),temperament,origin,country_code,description,breed_group,history,image,weight_min_kg,weight_max_kg,weight_avg_kg,height_min_cm,height_max_cm,height_mid_cm,life_span_min_years,life_span_max_years,life_span_mid_years,temperament list,temperament_clean,affection_sociability,energy_activity,trainability,playfulness,protectiveness,independence,calm_stability,confidence_resilience,image_url
Affenpinscher,Germany,Toy,Monkey-like face,7,Small,High,1.5,Yes,8,Moderate,Low,6,"confident, alert, playful, loyal, courageous",Germany,DE,"Small, sturdy toy breed with a distinctive monkey-like expression and shaggy, wiry coat. Known for its confident, terrier-like personality despite its small size.",Toy,"Originating in 17th-century Germany, bred down from larger terriers to be skilled ratters in homes, kitchens and stables. Refined in Munich and Berlin, recognized by AKC in 1936. Name translates to 'monkey-like terrier'.","{'id': '0LJiOVlxp', 'url': 'https://cdn2.thedogapi.com/images/0LJiOVlxp.jpg', 'width': 2048, 'height': 1880}",3.2,4.5,3.85,23.0,29.0,26.0,12.0,15.0,13.5,"['confident', ' alert', ' playful', ' loyal', ' courageous']","confident, alert, playful, loyal, courageous",0,0,0,1,1,0,0,1,https://cdn2.thedogapi.com/images/0LJiOVlxp.jpg
Afghan Hound,Afghanistan,Hound,Long silky coat,5,Large,Very High,2.0,No,4,High,Moderate,8,"independent, dignified, aloof, loyal, confident",Afghanistan,AF,"Ancient, elegant sighthound with dramatic, flowing silky coat and aristocratic bearing, bred for hunting large prey in mountainous terrain",Hound,"Ancient sighthound originating in the mountainous regions of Afghanistan, where they were prized for hunting large prey like gazelles and leopards. Valued for their speed, stamina, and problem-solving intelligence over rugged terrain. Introduced to the Western world by British officers in the early 20th century.","{'id': 'tChrH8dDJ', 'url': 'https://cdn2.thedogapi.com/images/tChrH8dDJ.jpg', 'width': 2400, 'height': 2487}",20.0,30.0,25.0,63.0,74.0,68.5,12.0,15.0,13.5,"['independent', ' dignified', ' aloof', ' loyal', ' confident']","independent, dignified, aloof, loyal, confident",0,0,0,0,0,1,0,1,https://cdn2.thedogapi.com/images/tChrH8dDJ.jpg
Airedale Terrier,England,Terrier,Largest of terriers,8,Medium,High,2.0,Yes,7,Moderate,Low,6,"confident, intelligent, courageous, alert, energetic, outgoing","Yorkshire, England",GB,"The largest of all terrier breeds, the Airedale is a large, athletic dog with a distinctive wiry black and tan coat and confident, alert demeanor. Known as the 'King of Terriers', this highly intelligent and versatile breed combines courage with an outgoing temperament.",Terrier,"Developed in the Aire Valley of Yorkshire, England, by crossing Otterhounds with various terrier breeds. Originally bred by working-class fanciers to hunt otters and rats, their intelligence and courage led to their use as police dogs, war dogs, and all-around companions.","{'id': 'QWRBrrIvB', 'url': 'https://cdn2.thedogapi.com/images/QWRBrrIvB.jpg', 'width': 1600, 'height': 1200}",18.0,32.0,25.0,56.0,61.0,58.5,11.0,14.0,12.5,"['confident', ' intelligent', ' courageous', ' alert', ' energetic', ' outgoing']","confident, intelligent, courageous, alert, energetic, outgoing",1,1,1,0,1,0,0,1,https://cdn2.thedogapi.com/images/QWRBrrIvB.jpg
Akita,Japan,Working,Strong loyalty,6,Large,Moderate,2.0,With Training,7,High,High,9,"courageous, loyal, dignified, independent, protective, alert",Japan,JP,"A large, powerful spitz-type dog of Japanese origin with a bear-like head, dense double coat, and full curled tail. Known for its dignified presence, imposing stature, and courageous, loyal temperament.",Working,"Ancient Japanese breed developed in the mountainous Akita prefecture for hunting large game including wild boar and bear. Revered in Japanese culture as a symbol of health, happiness, and good fortune. The breed was nearly lost after World War II but was preserved by dedicated breeders and designated as a national treasure in Japan.","{'id': 'iNX25KsSX', 'url': 'https://cdn2.thedogapi.com/images/iNX25KsSX.jpg', 'width': 2362, 'height': 2355}",32.0,59.0,45.5,61.0,71.0,66.0,10.0,13.0,11.5,"['courageous', ' loyal', ' dignified', ' independent', ' protective', ' alert']","courageous, loyal, dignified, independent, protective, alert",0,0,0,0,1,1,0,1,https://cdn2.thedogapi.com/images/iNX25KsSX.jpg
Alaskan Malamute,Alaska USA,Working,Strong pulling ability,7,Large,High,3.0,Yes,6,Very High,Moderate,8,"affectionate, friendly, loyal, playful, intelligent, energetic, outgoing","Alaska, United States",US,"An immensely strong, heavy-duty freighting dog of spitz type, the Alaskan Malamute is a large, powerful Arctic sled dog with a thick double coat, deep chest, well-muscled body, wolf-like appearance, and characteristically plumed tail carried over the back",Working,"One of the oldest Arctic sled dogs, developed by the native Mahlemut Inuit tribe of northwestern Alaska. Essential for survival, used for hauling heavy freight across Arctic terrain, hunting large predators like seals and polar bears","{'id': 'GhtSdrW29', 'url': 'https://cdn2.thedogapi.com/images/GhtSdrW29.jpg', 'width': 3888, 'height': 2592}",32.0,41.0,36.5,56.0,66.0,61.0,10.0,14.0,12.0,"['affectionate', ' friendly', ' loyal', ' playful', ' intelligent', ' energetic', ' outgoing']","affectionate, friendly, loyal, playful, intelligent, energetic, outgoing",1,1,1,1,0,0,0,0,https://cdn2.thedogapi.com/images/GhtSdrW29.jpg
American Bulldog,USA,Working,Muscular build,8,Large,Low,2.0,Yes,6,Moderate,Moderate,7,"confident, loyal, protective, energetic, affectionate, courageous",United States,US,"A powerful, athletic, short-coated dog of the molosser type with a broad head and muscular build, known for its confidence, strength, and loyalty as a family companion and guardian. Originally bred for farm work and protection.",Working,"Descended from Old English Bulldogs brought by working-class immigrants to the American South. Developed as versatile all-around farm utility dogs for guarding property, catching livestock, and protection. The breed was preserved from near extinction after WWII by breeders John D. Johnson and Alan Scott.","{'id': 'jDnFo8MXy', 'url': 'https://cdn2.thedogapi.com/images/jDnFo8MXy.jpg', 'width': 2560, 'height': 1920}",27.0,45.0,36.0,51.0,64.0,57.5,10.0,12.0,11.0,"['confident', ' loyal', ' protective', ' energetic', ' affectionate', ' courageous']","confident, loyal, protective, energetic, affectionate, courageous",1,1,0,0,1,0,0,1,https://cdn2.thedogapi.com/images/jDnFo8MXy.jpg
American Eskimo,USA,Non-Sporting,Pure white coat,9,Small-Medium,High,2.0,Yes,9,High,Low,5,"intelligent, alert, friendly, playful, energetic, eager to please",United States,US,"Compact spitz-type companion dog with distinctive dense white double coat, black points on lips, nose, and eye rims, wedge-shaped head, and plumed tail carried over the back. Available in three sizes (toy, miniature, standard) with an alert expression and striking appearance.",Non-Sporting,"Descended from white German Spitz dogs brought to America by German immigrants. Name changed from German Spitz to American Eskimo Dog during World War I due to anti-German sentiment. Became popular circus performers in the 19th and early 20th centuries, recognized by AKC in 1994","{'id': 'EB8A5HQHX', 'url': 'https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg', 'width': 1920, 'height': 1631}",3.0,16.0,9.5,23.0,48.0,35.5,,,,"['intelligent', ' alert', ' friendly', ' playful', ' energetic', ' eager to please']","intelligent, alert, friendly, playful, energetic, eager to please",1,1,1,1,1,0,0,0,https://cdn2.thedogapi.com/images/EB8A5HQHX.jpg
American Foxhound,USA,Hound,Musical voice,8,Medium,Low,2.5,Yes,6,Moderate,Low,6,"independent, friendly, gentle, energetic, intelligent",United States,US,"A sleek, powerful scenthound with a long, fine-boned body and athletic build, known for incredible stamina, speed, and melodious baying voice. One of the oldest American-bred dogs, developed for endurance and pack hunting.",Hound,"Developed from English Foxhounds imported to Colonial America in the 1650s, refined for American terrain and fox hunting. George Washington was a key figure in the breed's development, breeding them to be lighter, taller, and faster for hunting American red fox over varied terrain.","{'id': 'S14n1x9NQ', 'url': 'https://cdn2.thedogapi.com/images/S14n1x9NQ_1280.jpg', 'width': 3000, 'height': 2400}",27.0,32.0,29.5,53.0,64.0,58.5,11.0,13.0,12.0,"['independent', ' friendly', ' gentle', ' energetic', ' intelligent']","independent, friendly, gentle, energetic, intelligent",1,1,1,0,0,1,1,0,https://cdn2.thedogapi.com/images/S14n1x9NQ_1280.jpg
Australian Cattle Dog,Australia,Herding,Unique blue or red coat,7,Medium,Moderate,2.5,Yes,9,Moderate,Low,7,"intelligent, alert, loyal, energetic, courageous",Australia,AU,"Compact, muscular working dog with distinctive coat markings and exceptional endurance for cattle herding; known as the Heeler",Herding,"Developed in 19th century Australia by crossing British herding dogs including blue merle Collies with native Dingo, with later infusions of Dalmatian and Black and Tan Kelpie to create a hardy cattle herding dog for harsh Australian conditions","{'id': 'ZxP-viFTK', 'url': 'https://cdn2.thedogapi.com/images/ZxP-viFTK.jpg', 'width': 1080, 'height': 1350}",16.0,23.0,19.5,43.0,51.0,47.0,12.0,16.0,14.0,"['intelligent', ' alert', ' loyal', ' energetic', ' courageous']","intelligent, alert, loyal, energetic, courageous",0,1,1,0,1,0,0,0,https://cdn2.thedogapi.com/images/ZxP-viFTK.jpg
Australian Shepherd,USA,Herding,Merle coloring,8,Medium,High,2.5,Yes,9,High,Moderate,7,"intelligent, energetic, work-focused, loyal, devoted, athletic",Western United States,US,"Medium-sized, agile herding dog with striking multicolored coat, expressive eyes, and keen herding instincts. Known for their intense work drive and weather-resistant double coat.",Herding,"Despite its name, the Australian Shepherd was developed in the American West in the 19th century from Basque shepherd dogs brought by immigrants from the Pyrenees region. The breed's intelligence and versatility made it popular on the rodeo circuit and for ranching work.","{'id': 'G0k1fak65p', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/941d27a3-a346-4b56-bfed-a76d4ec745cd.jpeg', 'width': 1264, 'height': 848}",18.0,29.0,23.5,46.0,58.0,52.0,12.0,15.0,13.5,"['intelligent', ' energetic', ' work-focused', ' loyal', ' devoted', ' athletic']","intelligent, energetic, work-focused, loyal, devoted, athletic",1,1,1,0,0,0,0,0,https://storage.googleapis.com/dog-api-uploads-prod/originals/941d27a3-a346-4b56-bfed-a76d4ec745cd.jpeg
